tanggal_scraping,bandara_asal,bandara_tujuan,tanggal_terbang,kelas,jam_berangkat,jam_tiba,tanggal_tiba,durasi_menit,transit,bagasi_kg,cabin_baggage_kg,meal,entertainment,usb,power,model_pesawat,seat_layout,seat_pitch_inch,seat_type,harga_idr,refundable,reschedulable,visa_required,wifi_status,maskapai_final,selisih_hari,hari_penerbangan,waktu_berangkat_kategori,waktu_tiba_kategori,jarak_km,is_transit,jumlah_fasilitas,harga_idr_log,harga_idr_scaled
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,04:15,08:30,2026-05-21,255,1,20,7,True,True,True,False,Boeing 737,3-3,30.0,STANDARD_LEGROOM,5727100,False,False,False,no_wifi,MH,1,3,EARLY_MORNING,MORNING,1387.7631624242847,1,3,15.560720026980919,0.5061374316063356
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,04:15,15:00,2026-05-21,645,1,20,7,True,True,True,False,Boeing 737,3-3,30.0,STANDARD_LEGROOM,6565100,False,False,False,no_wifi,MH,1,3,EARLY_MORNING,AFTERNOON,1387.7631624242847,1,3,15.697278450216077,0.7035311504451385
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,18:25,15:00,2026-05-22,1235,1,25,7,True,True,True,False,Boeing 737,3-3,30.0,STANDARD_LEGROOM,6721100,True,True,False,free,MH,1,3,EVENING,AFTERNOON,1387.7631624242847,1,4,15.720762538364857,0.737477145012192
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:05,15:00,2026-05-22,1375,1,25,7,True,True,True,True,Airbus A330,2-4-2,32.0,ABOVE_AVERAGE_LEGROOM,7071100,True,True,False,free,MH,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,1,5,15.771526754178328,0.8108562680714919
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,08:30,15:00,2026-05-21,390,1,25,7,True,True,False,False,Boeing 737,3-3,31.0,STANDARD_LEGROOM,10981100,False,False,False,no_wifi,MH,1,3,MORNING,AFTERNOON,1387.7631624242847,1,2,16.21168626224268,1.4471020603172184
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:45,08:00,2026-05-22,915,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,3934040,False,True,False,no_wifi,OD,1,3,AFTERNOON,MORNING,1387.7631624242847,1,2,15.185177699839212,-0.036704926848742034
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:40,20:40,2026-05-22,1440,1,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False,no_wifi,OD,1,3,EVENING,EVENING,1387.7631624242847,1,2,14.8757669061221,-0.4839548714055265
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:40,09:40,2026-05-22,780,1,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False,no_wifi,OD,1,3,EVENING,MORNING,1387.7631624242847,1,2,14.8757669061221,-0.4839548714055265
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:10,09:40,2026-05-22,870,1,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False,no_wifi,OD,1,3,EVENING,MORNING,1387.7631624242847,1,2,14.8757669061221,-0.4839548714055265
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:10,20:40,2026-05-22,1530,1,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False,no_wifi,OD,1,3,EVENING,EVENING,1387.7631624242847,1,2,14.8757669061221,-0.4839548714055265
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:45,09:40,2026-05-22,1015,1,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,2972209,False,False,False,no_wifi,OD,1,3,AFTERNOON,MORNING,1387.7631624242847,1,2,14.904816341812083,-0.4419642273634535
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:40,14:35,2026-05-22,1075,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5390099,False,False,False,no_wifi,OD,1,3,EVENING,AFTERNOON,1387.7631624242847,1,2,15.500074495588773,0.41847497411122797
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,20:40,14:35,2026-05-22,1075,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5519277,False,False,False,no_wifi,OD,1,3,EVENING,AFTERNOON,1387.7631624242847,1,2,15.523757612597143,0.452708662734933
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:10,14:35,2026-05-22,1165,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5390099,False,False,False,no_wifi,OD,1,3,EVENING,AFTERNOON,1387.7631624242847,1,2,15.500074495588773,0.41847497411122797
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,19:10,14:35,2026-05-22,1165,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5519277,False,False,False,no_wifi,OD,1,3,EVENING,AFTERNOON,1387.7631624242847,1,2,15.523757612597143,0.452708662734933
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,16:45,14:35,2026-05-22,1310,2,0,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5480956,False,False,False,no_wifi,OD,1,3,AFTERNOON,AFTERNOON,1387.7631624242847,1,2,15.516790278713772,0.442637457216825
2026-05-20,CGK,KNO,2026-05-21,ECONOMY,18:30,14:35,2026-05-22,1205,1,20,7,False,True,True,False,Boeing 737,3-3,32.0,ABOVE_AVERAGE_LEGROOM,5195572,False,False,False,no_wifi,OD,1,3,EVENING,AFTERNOON,1387.7631624242847,1,2,15.46331747479686,0.3653430994479078
