tanggal_scraping,area_asal,area_tujuan,bandara_asal,bandara_tujuan,tanggal_terbang,kelas,maskapai,maskapai_operasi,nomor_penerbangan,jam_berangkat,jam_tiba,tgl_tiba,terminal_berangkat,terminal_tiba,durasi_menit,transit,bandara_transit,bagasi_kg,bagasi_unit,cabin_baggage_kg,wifi,wifi_cost,meal,entertainment,usb,power,model_pesawat,seat_layout,seat_pitch_inch,seat_type,harga_idr,refundable,reschedulable,visa_required
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,MH,MH,MH-726,04:15,08:30,"{'month': '5', 'day': '21', 'year': '2026'}",Terminal 3,N/A,255,1,KUL,20,KG,7,False,NA,True,True,True,False,Boeing 737-800,3-3,30,STANDARD_LEGROOM,5727100,False,False,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,MH,MH,MH-726,04:15,15:00,"{'month': '5', 'day': '21', 'year': '2026'}",Terminal 3,N/A,645,1,KUL,20,KG,7,False,NA,True,True,True,False,Boeing 737-800,3-3,30,STANDARD_LEGROOM,6565100,False,False,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,MH,MH,MH-722,18:25,15:00,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 3,N/A,1235,1,KUL,25,KG,7,True,FREE,True,True,True,False,Boeing 737 MAX 8,3-3,30,STANDARD_LEGROOM,6721100,True,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,MH,MH,MH-720,16:05,15:00,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 3,N/A,1375,1,KUL,25,KG,7,True,FREE,True,True,True,True,Airbus A330-300,2-4-2,32,ABOVE_AVERAGE_LEGROOM,7071100,True,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,MH,GA,MH-5892,08:30,15:00,"{'month': '5', 'day': '21', 'year': '2026'}",Terminal 3 International,N/A,390,1,KUL,25,KG,7,False,NA,True,True,False,False,Boeing 737-800,3-3,31,STANDARD_LEGROOM,10981100,False,False,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-383,16:45,08:00,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,915,2,"KUL, PEN",0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,3934040,False,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-389,20:40,20:40,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,1440,1,KUL,0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-389,20:40,09:40,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,780,1,KUL,0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-393,19:10,09:40,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,870,1,KUL,0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-393,19:10,20:40,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,1530,1,KUL,0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,2887110,False,True,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-383,16:45,09:40,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,N/A,1015,1,KUL,0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,2972209,False,False,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-389,20:40,14:35,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,Terminal International,1075,2,"KUL, SIN",0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,5390099,False,False,False
2026-05-20 13:33,JKTA,KNO,CGK,KNO,2026-05-21,ECONOMY,OD,OD,OD-389,20:40,14:35,"{'month': '5', 'day': '22', 'year': '2026'}",Terminal 2F,Terminal International,1075,2,"KUL, SIN",0,KG,7,False,NA,False,True,True,False,Boeing 737,3-3,32,ABOVE_AVERAGE_LEGROOM,5519277,False,False,False
